Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Pontiac Vibe,Wagon,RearWheelDr,17045.00,15973.00,1.80,4.00,130.00,8.10,6.50,1215.00,259.00,437.00,178.00
Saab 9-5 Aero,Wagon,FrontWheelDr,40845.00,38376.00,2.30,4.00,250.00,12.40,8.10,1629.00,269.00,483.00,180.00
Saturn L300 2,Wagon,FrontWheelDr,23560.00,21779.00,2.20,4.00,140.00,9.80,6.90,1399.00,272.00,483.00,175.00
Scion xB,Wagon,FrontWheelDr,14165.00,13480.00,1.50,4.00,108.00,7.60,6.70,1091.00,249.00,394.00,170.00
Subaru Forester X,Wagon,AllWheelDr,21445.00,19646.00,2.50,4.00,165.00,11.20,8.40,1391.00,251.00,445.00,173.00
Subaru Outback,Wagon,AllWheelDr,23895.00,21773.00,2.50,4.00,165.00,11.20,8.40,1544.00,264.00,475.00,175.00
Suzuki Aerio SX,Wagon,AllWheelDr,16497.00,16291.00,2.30,4.00,155.00,9.80,8.10,1319.00,249.00,424.00,173.00
Toyota Matrix XR,Wagon,FrontWheelDr,16695.00,15156.00,1.80,4.00,130.00,8.10,6.50,1206.00,259.00,434.00,178.00
Volkswagen Jetta GL,Wagon,FrontWheelDr,19005.00,17427.00,2.00,4.00,115.00,9.80,7.80,1365.00,251.00,442.00,173.00
Volkswagen Passat GLS 1.8T,Wagon,FrontWheelDr,24955.00,22801.00,1.80,4.00,170.00,10.70,7.60,1502.00,269.00,467.00,175.00
Volkswagen Passat W8,Wagon,FrontWheelDr,40235.00,36956.00,4.00,8.00,270.00,13.10,9.40,1830.00,269.00,467.00,175.00
Volvo V40,Wagon,FrontWheelDr,26135.00,24641.00,1.90,4.00,170.00,10.70,8.10,1270.00,257.00,457.00,173.00
Volvo XC70,Wagon,AllWheelDr,35145.00,33112.00,2.50,5.00,208.00,11.80,8.70,1720.00,277.00,472.00,185.00
Chevrolet Astro,MiniVan,AllWheelDr,26395.00,23954.00,4.30,6.00,190.00,16.80,13.80,2072.00,282.00,483.00,198.00
Chevrolet Venture LS,MiniVan,FrontWheelDr,27020.00,24518.00,3.40,6.00,185.00,12.40,9.00,1665.00,284.00,475.00,183.00
Chrysler Town and Country LX,MiniVan,FrontWheelDr,27490.00,25371.00,3.30,6.00,180.00,12.40,9.00,1831.00,302.00,511.00,201.00
Chrysler Town and Country Limited,MiniVan,FrontWheelDr,38380.00,35063.00,3.80,6.00,215.00,13.10,9.40,1949.00,302.00,511.00,201.00
Dodge Caravan SE,MiniVan,FrontWheelDr,21795.00,20508.00,2.40,4.00,150.00,11.80,9.00,1738.00,287.00,480.00,201.00
Dodge Grand Caravan SXT,MiniVan,AllWheelDr,32660.00,29812.00,3.80,6.00,215.00,13.10,9.40,1998.00,302.00,511.00,201.00
Ford Freestar SE,MiniVan,FrontWheelDr,26930.00,24498.00,3.90,6.00,193.00,13.80,10.20,1924.00,307.00,511.00,196.00
GMC Safari SLE,MiniVan,RearWheelDr,25640.00,23215.00,4.30,6.00,190.00,14.70,11.80,1939.00,282.00,483.00,198.00
Honda Odyssey LX,MiniVan,FrontWheelDr,24950.00,22498.00,3.50,6.00,240.00,13.10,9.40,1940.00,300.00,511.00,193.00
Honda Odyssey EX,MiniVan,FrontWheelDr,27450.00,24744.00,3.50,6.00,240.00,13.10,9.40,1964.00,300.00,511.00,193.00
Kia Sedona LX,MiniVan,FrontWheelDr,20615.00,19400.00,3.50,6.00,195.00,14.70,10.70,2161.00,292.00,493.00,191.00
Mazda MPV ES,MiniVan,FrontWheelDr,28750.00,26600.00,3.00,6.00,200.00,13.10,9.40,1715.00,284.00,478.00,183.00
Mercury Monterey Luxury,MiniVan,FrontWheelDr,33995.00,30846.00,4.20,6.00,201.00,14.70,10.20,1953.00,307.00,513.00,196.00
Nissan Quest S,MiniVan,FrontWheelDr,24780.00,22958.00,3.50,6.00,240.00,12.40,9.00,1805.00,315.00,518.00,198.00
Nissan Quest SE,MiniVan,FrontWheelDr,32780.00,30019.00,3.50,6.00,240.00,13.10,9.40,1879.00,315.00,518.00,198.00
Oldsmobile Silhouette GL,MiniVan,FrontWheelDr,28790.00,26120.00,3.40,6.00,185.00,12.40,9.00,1777.00,305.00,511.00,183.00
Pontiac Montana,MiniVan,FrontWheelDr,23845.00,21644.00,3.40,6.00,185.00,12.40,9.00,1711.00,284.00,475.00,183.00
Pontiac Montana EWB,MiniVan,AllWheelDr,31370.00,28454.00,3.40,6.00,185.00,13.10,9.80,1994.00,307.00,511.00,183.00
Toyota Sienna CE,MiniVan,FrontWheelDr,23495.00,21198.00,3.30,6.00,230.00,12.40,8.70,1854.00,302.00,508.00,196.00
Toyota Sienna XLE Limited,MiniVan,FrontWheelDr,28800.00,25690.00,3.30,6.00,230.00,12.40,8.70,1874.00,302.00,508.00,196.00
Cadillac Escalade EXT,Pickup,AllWheelDr,52975.00,48541.00,6.00,8.00,345.00,18.10,13.80,2646.00,330.00,,
Chevrolet Avalanche 1500,Pickup,AllWheelDr,36100.00,31689.00,5.30,8.00,295.00,16.80,13.10,2555.00,330.00,,
Chevrolet Colorado Z85,Pickup,AllWheelDr,18760.00,17070.00,2.80,4.00,175.00,13.10,10.20,1630.00,282.00,,
Chevrolet Silverado 1500 Regular Cab,Pickup,RearWheelDr,20310.00,18480.00,4.30,6.00,200.00,15.70,11.20,1864.00,302.00,,
Chevrolet Silverado SS,Pickup,AllWheelDr,40340.00,35399.00,6.00,8.00,300.00,18.10,13.80,2162.00,366.00,,
Chevrolet SSR,Pickup,RearWheelDr,41995.00,39306.00,5.30,8.00,300.00,14.70,12.40,2142.00,295.00,,
Dodge Dakota Regular Cab,Pickup,RearWheelDr,17630.00,16264.00,3.70,6.00,210.00,14.70,10.70,1671.00,284.00,,
Dodge Dakota Club Cab,Pickup,RearWheelDr,20300.00,18670.00,3.70,6.00,210.00,14.70,10.70,1723.00,333.00,,
Dodge Ram 1500 Regular Cab ST,Pickup,RearWheelDr,20215.00,18076.00,3.70,6.00,215.00,14.70,11.20,2044.00,307.00,,
Ford F-150 Regular Cab XL,Pickup,RearWheelDr,22010.00,19490.00,4.60,8.00,231.00,15.70,12.40,2155.00,320.00,,
Ford F-150 Supercab Lariat,Pickup,AllWheelDr,33540.00,29405.00,5.40,8.00,300.00,16.80,13.10,2459.00,338.00,,
Ford Ranger 2.3 XL Regular Cab,Pickup,RearWheelDr,14385.00,13717.00,2.30,4.00,143.00,9.80,8.10,1363.00,282.00,,
GMC Canyon Z85 SL Regular Cab,Pickup,RearWheelDr,16530.00,14877.00,2.80,4.00,175.00,12.40,9.80,1508.00,282.00,,
GMC Sierra Extended Cab 1500,Pickup,RearWheelDr,25717.00,22604.00,4.80,8.00,285.00,13.80,11.80,2047.00,366.00,,
GMC Sierra HD 2500,Pickup,AllWheelDr,29322.00,25759.00,6.00,8.00,300.00,,,2448.00,338.00,,
GMC Sonoma Crew Cab,Pickup,AllWheelDr,25395.00,23043.00,4.30,6.00,190.00,15.70,12.40,1837.00,312.00,,
Mazda B2300 SX Regular Cab,Pickup,RearWheelDr,14840.00,14070.00,2.30,4.00,143.00,9.80,8.10,1332.00,284.00,,
Mazda B4000 SE Cab Plus,Pickup,AllWheelDr,22350.00,20482.00,4.00,6.00,207.00,15.70,12.40,1607.00,320.00,,
Nissan Frontier King Cab XE V6,Pickup,AllWheelDr,19479.00,18253.00,3.30,6.00,180.00,13.80,11.80,1769.00,295.00,,
Nissan Titan King Cab XE,Pickup,AllWheelDr,26650.00,24926.00,5.60,8.00,305.00,16.80,13.10,2379.00,356.00,,
Subaru Baja,Pickup,AllWheelDr,24520.00,22304.00,2.50,4.00,165.00,11.20,8.40,1568.00,264.00,,
Toyota Tacoma,Pickup,RearWheelDr,12800.00,11879.00,2.40,4.00,142.00,10.70,8.70,1238.00,262.00,,
Toyota Tundra Regular Cab V6,Pickup,RearWheelDr,16495.00,14978.00,3.40,6.00,190.00,14.70,11.80,1766.00,325.00,,
Toyota Tundra Access Cab V6 SR5,Pickup,AllWheelDr,25935.00,23520.00,3.40,6.00,190.00,16.80,13.80,1996.00,325.00,,
